student_id,academic_year,major,facility_rated,satisfaction_score,timestamp,comments
STU10000,2022-2023,Economics,Administration Office,2.0,2022-07-26 11:22:10,
STU10001,2022-2023,Mathematics,Administration Office,2.0,2022-05-02 16:43:29,Disappointed with administration office condition
STU10002,2024-2025,Computer Science,Parking,2.0,2024-12-25 09:26:58,
STU10003,2021-2022,History,Cafeteria,4.0,,
STU10004,2021-2022,Psychology,Hostel,3.0,,
STU10005,2023-2024,History,Medical Center,4.0,2023-08-15 11:13:16,Disappointed with medical center condition
STU10006,2023-2024,Architecture,Classrooms,2.0,2023-04-22 10:25:43,
STU10007,2024-2025,Architecture,Administration Office,2.0,2024-12-25 16:20:15,
STU10008,2023-2024,Mathematics,Parking,3.0,2023-12-28 17:28:14,Good experience with parking
STU10009,2024-2025,Mathematics,Library,,2024-08-11 11:16:07,
STU10010,2023-2024,Business Administration,Parking,1.0,2023-09-28 15:08:07,
STU10011,2021-2022,Psychology,Medical Center,5.0,2021-03-12 16:21:26,
STU10012,2022-2023,Architecture,Cafeteria,1.0,2022-05-26 15:13:38,Very happy with cafeteria services
STU10013,2022-2023,Chemistry,Cafeteria,,2022-04-04 13:22:38,
STU10014,2023-2024,Civil Engineering,Medical Center,3.0,2023-03-22 10:41:44,Excellent facilities at medical center
STU10015,2024-2025,History,Sports Complex,5.0,2024-11-26 15:27:24,
STU10016,2021-2022,Physics,Auditorium,4.0,2021-09-03 15:05:07,
STU10017,2022-2023,Computer Science,Cafeteria,2.0,2022-12-24 14:31:31,
STU10018,2022-2023,Architecture,Library,4.0,2022-12-07 10:02:48,Disappointed with library condition
STU10019,2021-2022,Computer Science,Hostel,2.0,2021-06-23 13:31:32,
STU10020,2023-2024,Business Administration,Parking,3.0,2023-07-04 15:10:55,Very happy with parking services
STU10021,2024-2025,Business Administration,Sports Complex,,2024-06-11 09:08:59,
,2023-2024,Electrical Engineering,Sports Complex,5.0,2023-04-19 11:18:19,
STU10023,2021-2022,Computer Science,Administration Office,1.0,2021-02-08 09:10:27,
STU10024,2022-2023,Architecture,Parking,1.0,2022-12-16 17:51:59,Good experience with parking
STU10025,2021-2022,History,Computer Lab,5.0,2021-11-23 17:40:34,
STU10026,2024-2025,Civil Engineering,Administration Office,2.0,2024-01-24 12:10:48,Could be better at administration office
STU10027,2023-2024,Architecture,Cafeteria,1.0,2023-03-25 10:45:17,
STU10028,2022-2023,Economics,Auditorium,4.0,2022-01-04 09:13:20,Disappointed with auditorium condition
STU10029,2023-2024,Psychology,Cafeteria,1.0,2023-01-16 11:21:54,Could be better at cafeteria
STU10030,2024-2025,Economics,Cafeteria,3.0,2024-11-02 13:29:32,
STU10031,2022-2023,Business Administration,Cafeteria,4.0,2022-03-17 09:43:27,
STU10032,2022-2023,Biology,Cafeteria,4.0,2022-09-05 16:28:48,
STU10033,2023-2024,History,,4.0,2023-05-23 09:02:17,
STU10034,,Chemistry,Cafeteria,2.0,2024-06-23 10:26:41,
STU10035,2023-2024,Computer Science,Auditorium,3.0,2023-06-16 15:28:41,
STU10036,2024-2025,Physics,Administration Office,3.0,,Disappointed with administration office condition
,2023-2024,Architecture,Cafeteria,4.0,2023-02-02 15:21:50,
STU10038,2023-2024,Economics,Classrooms,2.0,2023-10-22 09:51:41,
STU10039,,History,Computer Lab,5.0,2022-05-28 13:38:03,
STU10040,2021-2022,Architecture,Cafeteria,4.0,2021-02-28 11:16:55,Poor maintenance of cafeteria
STU10041,2023-2024,Chemistry,Computer Lab,4.0,2023-07-09 13:00:57,
STU10042,2022-2023,Architecture,Classrooms,1.0,,
STU10043,2023-2024,Business Administration,Classrooms,5.0,2023-07-03 11:36:21,Could be better at classrooms
STU10044,2021-2022,Computer Science,Sports Complex,4.0,2021-10-26 13:38:35,Could be better at sports complex
STU10045,2023-2024,Chemistry,Parking,3.0,2023-04-02 12:30:09,
STU10046,2023-2024,Computer Science,Administration Office,2.0,2023-04-16 16:15:54,
STU10047,2024-2025,English Literature,Sports Complex,5.0,2024-02-03 09:32:50,
STU10048,,Computer Science,Library,5.0,,
STU10049,2021-2022,Mathematics,Parking,2.0,2021-02-19 17:06:03,
STU10050,2022-2023,English Literature,Administration Office,2.0,2022-05-25 12:09:36,
STU10051,2024-2025,Computer Science,Cafeteria,,,
STU10052,2023-2024,History,Library,5.0,2023-07-25 11:40:29,
STU10053,2023-2024,Physics,Classrooms,5.0,2023-11-19 09:35:11,
STU10054,2024-2025,Physics,Medical Center,4.0,2024-04-19 13:04:34,
STU10055,2023-2024,Business Administration,Sports Complex,,2023-09-07 13:41:57,Very happy with sports complex services
STU10056,2021-2022,Electrical Engineering,Medical Center,5.0,2021-11-11 10:46:11,
,2024-2025,Computer Science,Classrooms,5.0,2024-08-10 17:49:26,
STU10058,2021-2022,Business Administration,Classrooms,3.0,2021-08-16 09:21:51,Very happy with classrooms services
STU10059,2024-2025,Civil Engineering,Sports Complex,5.0,2024-03-12 14:38:26,Satisfactory services at sports complex
,2021-2022,Electrical Engineering,Hostel,2.0,2021-10-20 16:40:38,
STU10061,2023-2024,Architecture,Auditorium,4.0,2023-01-25 16:32:37,
STU10062,2024-2025,Economics,,4.0,2024-05-11 13:35:34,
STU10063,2021-2022,Physics,Library,5.0,2021-01-21 14:53:02,
STU10064,2021-2022,History,Parking,3.0,2021-08-06 16:27:52,Poor maintenance of parking
STU10065,2023-2024,Mathematics,Parking,1.0,2023-12-28 13:40:35,
STU10066,2023-2024,Computer Science,Auditorium,1.0,2023-05-20 11:05:17,
STU10067,2023-2024,Physics,Hostel,1.0,2023-02-27 13:54:55,
STU10068,2024-2025,Computer Science,Computer Lab,5.0,2024-09-22 09:12:32,
STU10069,2022-2023,Computer Science,Computer Lab,4.0,2022-06-28 09:04:30,
STU10070,2024-2025,Psychology,Computer Lab,5.0,2024-10-10 11:16:20,
STU10071,2021-2022,Electrical Engineering,Sports Complex,4.0,2021-01-08 10:27:30,Needs improvement in sports complex
STU10072,2022-2023,Biology,Classrooms,3.0,2022-11-18 09:53:43,
STU10073,2024-2025,Physics,Library,4.0,2024-07-15 13:20:13,
STU10074,2022-2023,Biology,Hostel,1.0,2022-02-18 11:33:51,
STU10075,2022-2023,History,Medical Center,2.0,2022-03-17 13:28:03,
STU10076,2024-2025,Computer Science,Sports Complex,5.0,2024-02-06 13:01:12,
STU10077,2022-2023,Electrical Engineering,Auditorium,,2022-06-16 16:03:39,
STU10078,2022-2023,Electrical Engineering,Hostel,2.0,2022-03-19 13:04:17,Excellent facilities at hostel
STU10079,2021-2022,Biology,Library,5.0,2021-12-26 10:48:13,
STU10080,2022-2023,Chemistry,Auditorium,1.0,2022-06-15 16:29:42,
STU10081,2021-2022,Chemistry,,5.0,2021-01-03 12:14:46,
STU10082,2022-2023,Chemistry,Medical Center,2.0,2022-10-14 16:50:06,
STU10083,2024-2025,English Literature,Hostel,2.0,2024-03-19 17:54:36,Very happy with hostel services
STU10084,2022-2023,Psychology,Classrooms,2.0,2022-12-25 09:12:19,
STU10085,2022-2023,Physics,Hostel,1.0,2022-06-02 16:39:48,
STU10086,2022-2023,Business Administration,Classrooms,4.0,2022-10-02 16:58:44,
STU10087,2024-2025,Business Administration,Classrooms,5.0,2024-06-06 15:47:03,
STU10088,2021-2022,Architecture,Administration Office,3.0,,
STU10089,2024-2025,Biology,Hostel,2.0,2024-11-04 14:53:48,
STU10090,2023-2024,,Auditorium,2.0,2023-11-08 11:44:43,
STU10091,2022-2023,Electrical Engineering,Sports Complex,5.0,,
STU10092,2023-2024,Civil Engineering,,1.0,2023-06-18 16:09:04,Poor maintenance of cafeteria
STU10093,2022-2023,Mathematics,Hostel,1.0,2022-05-09 09:08:10,
STU10094,2023-2024,Electrical Engineering,Library,5.0,,
STU10095,,History,Cafeteria,3.0,2024-01-08 14:59:28,
STU10096,2023-2024,History,Cafeteria,5.0,2023-05-05 11:58:13,
STU10097,2022-2023,Economics,Parking,1.0,,
STU10098,2023-2024,Computer Science,Medical Center,1.0,2023-09-17 09:46:54,
STU10099,2021-2022,Mathematics,Cafeteria,3.0,2021-06-06 11:06:50,
STU10100,2021-2022,Economics,,,2021-07-27 12:28:37,
STU10101,2023-2024,English Literature,Medical Center,1.0,2023-04-22 10:09:04,
STU10102,2022-2023,Biology,Sports Complex,5.0,2022-04-24 16:04:28,Poor maintenance of sports complex
STU10103,,English Literature,Cafeteria,3.0,2023-04-04 13:19:10,
STU10104,2022-2023,Biology,Administration Office,2.0,2022-10-14 16:17:24,Disappointed with administration office condition
STU10105,2024-2025,History,Sports Complex,5.0,2024-05-24 13:07:41,
STU10106,2022-2023,Physics,Classrooms,3.0,2022-08-09 14:10:22,Excellent facilities at classrooms
STU10107,2024-2025,Architecture,Sports Complex,4.0,2024-09-01 14:54:50,
STU10108,2022-2023,Physics,Computer Lab,5.0,2022-04-25 13:25:40,Poor maintenance of computer lab
STU10109,2023-2024,,Classrooms,2.0,2023-07-18 10:26:16,
STU10110,2021-2022,English Literature,Cafeteria,1.0,2021-07-20 14:52:23,
STU10111,2023-2024,English Literature,Classrooms,2.0,2023-12-18 13:48:06,
STU10112,2022-2023,Civil Engineering,Classrooms,4.0,2022-08-17 15:00:31,Very happy with classrooms services
STU10113,2022-2023,Mathematics,Cafeteria,5.0,2022-01-13 16:18:17,Satisfactory services at cafeteria
STU10114,2022-2023,Mechanical Engineering,Classrooms,4.0,2022-01-18 14:50:03,Excellent facilities at classrooms
STU10115,2021-2022,Electrical Engineering,Parking,1.0,2021-02-28 09:22:54,Needs improvement in parking
STU10116,2024-2025,Mathematics,Library,5.0,2024-03-24 15:58:07,
STU10117,2023-2024,Electrical Engineering,Library,5.0,2023-08-02 11:31:23,
STU10118,2024-2025,English Literature,Sports Complex,5.0,2024-06-21 15:47:17,Very happy with sports complex services
STU10119,2023-2024,Business Administration,Cafeteria,5.0,2023-03-04 10:01:00,
STU10120,2022-2023,Chemistry,Hostel,1.0,2022-07-12 12:04:36,
STU10121,2023-2024,Mechanical Engineering,Computer Lab,4.0,2023-04-26 14:43:23,Could be better at computer lab
STU10122,2022-2023,Architecture,Medical Center,1.0,2022-02-19 09:13:08,
STU10123,2023-2024,Psychology,Auditorium,3.0,2023-04-26 10:22:36,Needs improvement in auditorium
,2023-2024,Chemistry,Sports Complex,5.0,2023-02-17 13:24:37,
STU10125,2022-2023,Chemistry,,,2022-11-25 14:26:39,Excellent facilities at classrooms
STU10126,2023-2024,Psychology,Parking,3.0,2023-10-21 10:59:53,
STU10127,2021-2022,Civil Engineering,Cafeteria,2.0,2021-05-11 16:10:35,
,2022-2023,Electrical Engineering,Classrooms,2.0,2022-07-15 16:53:21,
STU10129,2022-2023,Civil Engineering,Sports Complex,4.0,2022-04-11 09:58:44,Good experience with sports complex
STU10130,2023-2024,Business Administration,Auditorium,1.0,2023-08-17 09:24:42,
STU10131,2022-2023,Electrical Engineering,Cafeteria,2.0,2022-05-12 11:29:37,
STU10132,2022-2023,History,Library,4.0,2022-10-25 15:48:46,Disappointed with library condition
STU10133,2024-2025,Mathematics,Computer Lab,,2024-05-22 14:07:24,
STU10134,2023-2024,,Parking,1.0,2023-10-15 15:16:22,
